"Categoria Tariffa","Tipo BP","Stato Utenza","Stato Utenza IS-U","Conto Co.Ge.","Fatturato emesso","Totale Inevaso","Credito NON Scaduto","Credito Scaduto","Aging credito scaduto:30gg","Aging credito scaduto:60gg","Aging credito scaduto:90gg","Aging credito scaduto:120gg","Aging credito scaduto:150gg","Aging credito scaduto:180gg","Aging credito scaduto:360gg","Aging credito scaduto:720gg","Aging credito scaduto:over 720gg","codice_BP"
"Senza attribuz.","Privato","Cessato","CESSATA","Crediti v utenti isu","","-7.47 EUR","","-7.47 EUR","","","","","","","","","-7.47 EUR","1000001440"
"Senza attribuz.","Privato","Cessato","CESSATA","Crediti v utenti isu","","-2,023.67 EUR","","-2,023.67 EUR","","","","","","","","","-2,023.67 EUR","1000001903"
"Senza attribuz.","Privato","Cessato","CESSATA","Crediti v utenti isu","","-46.06 EUR","","-46.06 EUR","","","","","","","","","-46.06 EUR","1000001759"
"Senza attribuz.","Privato","Cessato","CESSATA","Crediti v utenti isu","","-459.46 EUR","","-459.46 EUR","","","","","","","","","-459.46 EUR","1000001855"
"Domestiche Residenti","Privato","Attivo","ATTIVA","Crediti v utenti isu","","-26.47 EUR","","-26.47 EUR","","","","","","","","","-26.47 EUR","1000001076"
"Senza attribuz.","Privato","Cessato","CESSATA","Crediti v utenti isu","","12,664.54 EUR","","12,664.54 EUR","","","","","","","","","12,664.54 EUR","1000001772"
"Domestiche Residenti","Privato","Cessato","ATTIVA","Crediti v utenti isu","","673.66 EUR","","673.66 EUR","","","","","","","","","673.66 EUR","1000001493"
"Senza attribuz.","Privato","Cessato","CESSATA","Crediti v utenti isu","","6,780.96 EUR","","6,780.96 EUR","","","","","","","","","6,780.96 EUR","1000001660"
"Domestiche Residenti","Privato","Attivo","ATTIVA","Crediti v utenti isu","","2,824.98 EUR","","2,824.98 EUR","","","","","","","","","2,824.98 EUR","1000002089"
"Domestiche Residenti","Privato","Cessato con Conto Finale emesso","ATTIVA","Crediti v utenti isu","","164.23 EUR","","164.23 EUR","","","","","","","","","164.23 EUR","1000001193"
"Domestiche Residenti","Privato","Cessato","ATTIVA","Crediti v utenti isu","","278.72 EUR","","278.72 EUR","","","","","","","","","278.72 EUR","1000002002"
"Condominiali Domestiche","Privato","Cessato con Conto Finale emesso","ATTIVA","Crediti v utenti isu","","16.49 EUR","","16.49 EUR","","","","","","","","","16.49 EUR","1000001925"
"Condominiali Domestiche","Privato","Cessato","ATTIVA","Crediti v utenti isu","","0.00 EUR","","0.00 EUR","","","","","","","","","0.00 EUR","1000001274"
"Non Domestiche","Privato","Attivo","ATTIVA","Crediti v utenti isu","","237.56 EUR","","237.56 EUR","","","","","","","","","237.56 EUR","1000001771"
"Non Domestiche","Privato","Cessato","ATTIVA","Crediti v utenti isu","","133.76 EUR","","133.76 EUR","","","","","","","","","133.76 EUR","1000000917"
"Condominiali Miste","Privato","Attivo","ATTIVA","Crediti v utenti isu","","5,098.94 EUR","","5,098.94 EUR","","","","","","","","","5,098.94 EUR","1000002018"
"Uso Antincendio","Organizzazione","Cessato","ATTIVA","Crediti v utenti isu","","7.75 EUR","","7.75 EUR","","","","","","","","","7.75 EUR","1000002635"
"Uso Antincendio","Privato","Attivo","ATTIVA","Crediti v utenti isu","","0.00 EUR","","0.00 EUR","","","","","","","","","0.00 EUR","1000001460"
"Senza attribuz.","Organizzazione","Cessato","CESSATA","Crediti v utenti isu","","4,062.08 EUR","","4,062.08 EUR","","","","","","","","","4,062.08 EUR","1000003169"
"Senza attribuz.","Privato","Cessato","CESSATA","Crediti v utenti isu","","27,018.39 EUR","","27,018.39 EUR","","","","","","","","","27,018.39 EUR","1000001289"
"Senza attribuz.","Senza attribuz.","Senza attribuz.","CESSATA","Senza attribuz.","291,793,997.70 EUR","","","","","","","","","","","","","1000002914"
"Domestiche Residenti","Privato","Attivo","ATTIVA","Crediti v utenti isu","","4,992.27 EUR","","4,992.27 EUR","","","","","","","","","4,992.27 EUR","1000001342"
"Domestiche Residenti","Privato","Cessato con Conto Finale emesso","ATTIVA","Crediti v utenti isu","","216.32 EUR","","216.32 EUR","","","","","","","","","216.32 EUR","1000001829"
"Domestiche Residenti","Privato","Cessato","ATTIVA","Crediti v utenti isu","","1,846.95 EUR","","1,846.95 EUR","","","","","","","","","1,846.95 EUR","1000001053"
"Condominiali Domestiche","Privato","Attivo","ATTIVA","Crediti v utenti isu","","475.14 EUR","","475.14 EUR","","","","","","","","","475.14 EUR","1000001480"
"Condominiali Domestiche","Privato","Cessato","ATTIVA","Crediti v utenti isu","","103.85 EUR","","103.85 EUR","","","","","","","","","103.85 EUR","1000001348"
"Non Domestiche","Organizzazione","Cessato","ATTIVA","Crediti v utenti isu","","1,257.56 EUR","","1,257.56 EUR","","","","","","","","","1,257.56 EUR","1000002401"
"Non Domestiche","Privato","Attivo","ATTIVA","Crediti v utenti isu","","426.37 EUR","","426.37 EUR","","","","","","","","","426.37 EUR","1000001242"
"Non Domestiche","Privato","Cessato","ATTIVA","Crediti v utenti isu","","191.61 EUR","","191.61 EUR","","","","","","","","","191.61 EUR","1000001486"
"Condominiali Miste","Privato","Attivo","ATTIVA","Crediti v utenti isu","","9,937.16 EUR","","9,937.16 EUR","","","","","","","","","9,937.16 EUR","1000001746"
"Uso Antincendio","Organizzazione","Cessato","ATTIVA","Crediti v utenti isu","","23.76 EUR","","23.76 EUR","","","","","","","","","23.76 EUR","1000003033"
"Uso Antincendio","Privato","Attivo","ATTIVA","Crediti v utenti isu","","10.33 EUR","","10.33 EUR","","","","","","","","","10.33 EUR","1000001505"
"Insediamenti Produttivi","Correlate / Collegate","Attivo","ATTIVA","Crediti v utenti isu","","14,543.94 EUR","","14,543.94 EUR","","","","","","","","","14,543.94 EUR","1000003224"
"Senza attribuz.","Organizzazione","Cessato","CESSATA","Crediti v utenti isu","","9,395.92 EUR","","9,395.92 EUR","","","","","","","","","9,395.92 EUR","1000002374"
"Senza attribuz.","Organizzazione","Cessato","CESSATA","Crv/Comuni p/ut isu","","620.88 EUR","","620.88 EUR","","","","","","","","","620.88 EUR","1000002557"
"Senza attribuz.","Privato","Cessato","CESSATA","Crediti v utenti isu","","8,239.25 EUR","","8,239.25 EUR","","","","","","","","","8,239.25 EUR","1000001564"
"Senza attribuz.","Senza attribuz.","Senza attribuz.","CESSATA","Senza attribuz.","301,144,834.45 EUR","","","","","","","","","","","","","1000002328"
"Domestiche Residenti","Privato","Attivo","ATTIVA","Crediti v utenti isu","","28,866.88 EUR","","28,866.88 EUR","","","","","","","","","28,866.88 EUR","1000000883"
"Domestiche Residenti","Privato","Cessato con Conto Finale emesso","ATTIVA","Crediti v utenti isu","","847.08 EUR","","847.08 EUR","","","","","","","","","847.08 EUR","1000001219"
"Domestiche Residenti","Privato","Cessato","ATTIVA","Crediti v utenti isu","","4,937.28 EUR","","4,937.28 EUR","","","","","","","","","4,937.28 EUR","1000000996"
"Condominiali Domestiche","Privato","Attivo","ATTIVA","Crediti v utenti isu","","16,581.70 EUR","","16,581.70 EUR","","","","","","","","","16,581.70 EUR","1000001025"
"Condominiali Domestiche","Privato","Cessato","ATTIVA","Crediti v utenti isu","","328.76 EUR","","328.76 EUR","","","","","","","","","328.76 EUR","1000001590"
"Non Domestiche","Organizzazione","Attivo","ATTIVA","Crediti v utenti isu","","3,839.63 EUR","","3,839.63 EUR","","","","","","","","","3,839.63 EUR","1000002208"
"Non Domestiche","Organizzazione","Cessato con Conto Finale emesso","ATTIVA","Crediti v utenti isu","","2,688.74 EUR","","2,688.74 EUR","","","","","","","","","2,688.74 EUR","1000002913"
"Non Domestiche","Organizzazione","Cessato","ATTIVA","Crediti v utenti isu","","4,371.76 EUR","","4,371.76 EUR","","","","","","","","","4,371.76 EUR","1000002497"
"Non Domestiche","Privato","Attivo","ATTIVA","Crediti v utenti isu","","13,490.99 EUR","","13,490.99 EUR","","","","","","","","","13,490.99 EUR","1000001301"
"Non Domestiche","Privato","Cessato con Conto Finale emesso","ATTIVA","Crediti v utenti isu","","228.19 EUR","","228.19 EUR","","","","","","","","","228.19 EUR","1000000961"
"Non Domestiche","Privato","Cessato","ATTIVA","Crediti v utenti isu","","3,846.84 EUR","","3,846.84 EUR","","","","","","","","","3,846.84 EUR","1000001396"
"Condominiali Miste","Privato","Attivo","ATTIVA","Crediti v utenti isu","","12,253.15 EUR","","12,253.15 EUR","","","","","","","","","12,253.15 EUR","1000001948"
"Uso Antincendio","Organizzazione","Cessato","ATTIVA","Crediti v utenti isu","","-1,466.74 EUR","","-1,466.74 EUR","","","","","","","","","-1,466.74 EUR","1000002912"
"Uso Antincendio","Privato","Attivo","ATTIVA","Crediti v utenti isu","","0.00 EUR","","0.00 EUR","","","","","","","","","0.00 EUR","1000000889"
"Senza attribuz.","Organizzazione","Cessato","CESSATA","Crediti v utenti isu","","-1,489.36 EUR","","-1,489.36 EUR","","","","","","","","","-1,489.36 EUR","1000002262"
"Senza attribuz.","Privato","Cessato","CESSATA","Crediti v utenti isu","","31,886.88 EUR","","31,886.88 EUR","","","","","","","","","31,886.88 EUR","1000001287"
"Senza attribuz.","Senza attribuz.","Senza attribuz.","CESSATA","Senza attribuz.","298,724,063.38 EUR","","","","","","","","","","","","","1000002779"
"Domestiche Residenti","Privato","Attivo","ATTIVA","Crediti v utenti isu","","7,716.25 EUR","","7,716.25 EUR","","","","","","","","","7,716.25 EUR","1000002083"
"Domestiche Residenti","Privato","Cessato con Conto Finale emesso","ATTIVA","Crediti v utenti isu","","637.06 EUR","","637.06 EUR","","","","","","","","","637.06 EUR","1000002073"
"Domestiche Residenti","Privato","Cessato","ATTIVA","Crediti v utenti isu","","4,554.80 EUR","","4,554.80 EUR","","","","","","","","","4,554.80 EUR","1000001377"
"Condominiali Domestiche","Privato","Attivo","ATTIVA","Crediti v utenti isu","","7,050.95 EUR","","7,050.95 EUR","","","","","","","","","7,050.95 EUR","1000001686"
"Condominiali Domestiche","Privato","Cessato","ATTIVA","Crediti v utenti isu","","218.84 EUR","","218.84 EUR","","","","","","","","","218.84 EUR","1000001005"
"Non Domestiche","Privato","Attivo","ATTIVA","Crediti v utenti isu","","971.31 EUR","","971.31 EUR","","","","","","","","","971.31 EUR","1000002045"
"Non Domestiche","Privato","Cessato con Conto Finale emesso","ATTIVA","Crediti v utenti isu","","99.33 EUR","","99.33 EUR","","","","","","","","","99.33 EUR","1000001563"
"Non Domestiche","Privato","Cessato","ATTIVA","Crediti v utenti isu","","5,470.51 EUR","","5,470.51 EUR","","","","","","","","","5,470.51 EUR","1000001547"
"Uso Antincendio","Organizzazione","Cessato","ATTIVA","Crediti v utenti isu","","-2,414.51 EUR","","-2,414.51 EUR","","","","","","","","","-2,414.51 EUR","1000002501"
"Uso Antincendio","Privato","Attivo","ATTIVA","Crediti v utenti isu","","0.00 EUR","","0.00 EUR","","","","","","","","","0.00 EUR","1000001226"
"Senza attribuz.","Organizzazione","Cessato","CESSATA","Crediti v utenti isu","","12,490.37 EUR","","12,490.37 EUR","","","","","","","","","12,490.37 EUR","1000002675"
"Senza attribuz.","Organizzazione","Cessato","CESSATA","Crv/Comuni p/ut isu","","29,602.99 EUR","","29,602.99 EUR","","","","","","","","","29,602.99 EUR","1000002106"
"Senza attribuz.","Privato","Cessato","CESSATA","Crediti v utenti isu","","-34,585.37 EUR","","-34,585.37 EUR","","","","","","","","","-34,585.37 EUR","1000001118"
"Senza attribuz.","Senza attribuz.","Senza attribuz.","CESSATA","Senza attribuz.","294,061,867.99 EUR","","","","","","","","","","","","","1000002921"
"Domestiche Residenti","Privato","Attivo","ATTIVA","Crediti v utenti isu","","12,218.09 EUR","","12,218.09 EUR","","","","","","","","","12,218.09 EUR","1000001120"
"Domestiche Residenti","Privato","Cessato con Conto Finale emesso","ATTIVA","Crediti v utenti isu","","832.78 EUR","","832.78 EUR","","","","","","","","","832.78 EUR","1000000956"
"Domestiche Residenti","Privato","Cessato","ATTIVA","Crediti v utenti isu","","5,350.14 EUR","","5,350.14 EUR","","","","","","","","","5,350.14 EUR","1000001470"
"Condominiali Domestiche","Privato","Attivo","ATTIVA","Crediti v utenti isu","","7,885.88 EUR","","7,885.88 EUR","","","","","","","","","7,885.88 EUR","1000001083"
"Condominiali Domestiche","Privato","Cessato","ATTIVA","Crediti v utenti isu","","4,082.11 EUR","","4,082.11 EUR","","","","","","","","","4,082.11 EUR","1000001354"
"Non Domestiche","Privato","Attivo","ATTIVA","Crediti v utenti isu","","1,338.60 EUR","","1,338.60 EUR","","","","","","","","","1,338.60 EUR","1000001890"
"Non Domestiche","Privato","Cessato con Conto Finale emesso","ATTIVA","Crediti v utenti isu","","106.27 EUR","","106.27 EUR","","","","","","","","","106.27 EUR","1000001355"
"Non Domestiche","Privato","Cessato","ATTIVA","Crediti v utenti isu","","14,040.76 EUR","","14,040.76 EUR","","","","","","","","","14,040.76 EUR","1000001309"
"Uso Antincendio","Organizzazione","Cessato","ATTIVA","Crediti v utenti isu","","-2,290.51 EUR","","-2,290.51 EUR","","","","","","","","","-2,290.51 EUR","1000002911"
"Uso Antincendio","Privato","Cessato","ATTIVA","Crediti v utenti isu","","-278.28 EUR","","-278.28 EUR","","","","","","","","","-278.28 EUR","1000001532"
"Scarichi Civili","Organizzazione","Attivo","ATTIVA","Crediti v utenti isu","","4.43 EUR","","4.43 EUR","","","","","","","","","4.43 EUR","1000003306"
"Senza attribuz.","Organizzazione","Cessato","CESSATA","Crediti v utenti isu","","23,968.04 EUR","","23,968.04 EUR","","","","","","","","","23,968.04 EUR","1000002925"
"Senza attribuz.","Privato","Cessato","CESSATA","Crediti v utenti isu","","-105,336.36 EUR","","-105,336.36 EUR","","","","","","","","","-105,336.36 EUR","1000001255"
"Senza attribuz.","Senza attribuz.","Senza attribuz.","CESSATA","Senza attribuz.","354,451,444.92 EUR","","","","","","","","","","","","","1000002231"
"Domestiche Residenti","Privato","Attivo","ATTIVA","Crediti v utenti isu","","12,809.97 EUR","","12,809.97 EUR","","","","","","","","","12,809.97 EUR","1000001251"
"Domestiche Residenti","Privato","Cessato con Conto Finale emesso","ATTIVA","Crediti v utenti isu","","1,757.97 EUR","","1,757.97 EUR","","","","","","","","","1,757.97 EUR","1000001720"
"Domestiche Residenti","Privato","Cessato","ATTIVA","Crediti v utenti isu","","8,516.49 EUR","","8,516.49 EUR","","","","","","","","","8,516.49 EUR","1000001998"
"Condominiali Domestiche","Privato","Attivo","ATTIVA","Crediti v utenti isu","","11,228.98 EUR","","11,228.98 EUR","","","","","","","","","11,228.98 EUR","1000001415"
"Condominiali Domestiche","Privato","Cessato con Conto Finale emesso","ATTIVA","Crediti v utenti isu","","618.02 EUR","","618.02 EUR","","","","","","","","","618.02 EUR","1000001157"
"Condominiali Domestiche","Privato","Cessato","ATTIVA","Crediti v utenti isu","","6,175.06 EUR","","6,175.06 EUR","","","","","","","","","6,175.06 EUR","1000001236"
"Non Domestiche","Organizzazione","Attivo","ATTIVA","Crediti v utenti isu","","47,171.37 EUR","","47,171.37 EUR","","","","","","","","","47,171.37 EUR","1000002864"
"Non Domestiche","Privato","Attivo","ATTIVA","Crediti v utenti isu","","2,145.00 EUR","","2,145.00 EUR","","","","","","","","","2,145.00 EUR","1000001300"
"Non Domestiche","Privato","Cessato con Conto Finale emesso","ATTIVA","Crediti v utenti isu","","2,325.52 EUR","","2,325.52 EUR","","","","","","","","","2,325.52 EUR","1000001529"
"Non Domestiche","Privato","Cessato","ATTIVA","Crediti v utenti isu","","15,487.43 EUR","","15,487.43 EUR","","","","","","","","","15,487.43 EUR","1000001331"
"Condominiali Miste","Organizzazione","Attivo","ATTIVA","Crv/Comuni p/ut isu","","0.00 EUR","","0.00 EUR","","","","","","","","","0.00 EUR","1000002881"
"Uso Antincendio","Organizzazione","Cessato","ATTIVA","Crediti v utenti isu","","4.03 EUR","","4.03 EUR","","","","","","","","","4.03 EUR","1000002118"
"Uso Antincendio","Privato","Attivo","ATTIVA","Crediti v utenti isu","","0.00 EUR","","0.00 EUR","","","","","","","","","0.00 EUR","1000001421"
"Insediamenti Produttivi","Privato","Attivo","ATTIVA","Crediti v utenti isu","","9.57 EUR","","9.57 EUR","","","","","","","","","9.57 EUR","1000001388"
"Senza attribuz.","Organizzazione","Cessato","CESSATA","Crediti v utenti isu","","28,182.73 EUR","","28,182.73 EUR","","","","","","","","","28,182.73 EUR","1000003245"
"Senza attribuz.","Organizzazione","Cessato","CESSATA","Crv/Comuni p/ut isu","","126,569.15 EUR","","126,569.15 EUR","","","","","","","","","126,569.15 EUR","1000002282"
"Senza attribuz.","Privato","Attivo","CESSATA","Crediti v utenti isu","","-15.10 EUR","","-15.10 EUR","","","","","","","","","-15.10 EUR","1000000909"
"Senza attribuz.","Privato","Cessato","CESSATA","Crediti v utenti isu","","-190,974.32 EUR","","-190,974.32 EUR","","","","","","","","","-190,974.32 EUR","1000001596"
"Senza attribuz.","Privato","Cessato","CESSATA","Cred.v/cor.te caltag","","-1.82 EUR","","-1.82 EUR","","","","","","","","","-1.82 EUR","1000001199"
"Senza attribuz.","Gruppo","Cessato","CESSATA","Cr autocons isu","","19.68 EUR","","19.68 EUR","","","","","","","","","19.68 EUR","1000002223"
"Senza attribuz.","Senza attribuz.","Senza attribuz.","CESSATA","Senza attribuz.","355,835,875.77 EUR","","","","","","","","","","","","","1000002112"
"Domestiche Residenti","Privato","Attivo","ATTIVA","Crediti v utenti isu","","4,794.82 EUR","","4,794.82 EUR","","","","","","","","","4,794.82 EUR","1000001257"
"Domestiche Residenti","Privato","Cessato con Conto Finale emesso","ATTIVA","Crediti v utenti isu","","608.79 EUR","","608.79 EUR","","","","","","","","","608.79 EUR","1000001031"
"Domestiche Residenti","Privato","Cessato","ATTIVA","Crediti v utenti isu","","2,953.61 EUR","","2,953.61 EUR","","","","","","","","","2,953.61 EUR","1000001181"
"Condominiali Domestiche","Privato","Attivo","ATTIVA","Crediti v utenti isu","","6,527.39 EUR","","6,527.39 EUR","","","","","","","","","6,527.39 EUR","1000002097"
"Condominiali Domestiche","Privato","Cessato con Conto Finale emesso","ATTIVA","Crediti v utenti isu","","1,065.67 EUR","","1,065.67 EUR","","","","","","","","","1,065.67 EUR","1000002092"
"Condominiali Domestiche","Privato","Cessato","ATTIVA","Crediti v utenti isu","","4,238.24 EUR","","4,238.24 EUR","","","","","","","","","4,238.24 EUR","1000001708"
"Non Domestiche","Organizzazione","Cessato","ATTIVA","Crediti v utenti isu","","985.86 EUR","","985.86 EUR","","","","","","","","","985.86 EUR","1000002968"
"Non Domestiche","Organizzazione","Cessato","ATTIVA","Crv/Comuni p/ut isu","","40.66 EUR","","40.66 EUR","","","","","","","","","40.66 EUR","1000002522"
"Non Domestiche","Privato","Attivo","ATTIVA","Crediti v utenti isu","","1,859.70 EUR","","1,859.70 EUR","","","","","","","","","1,859.70 EUR","1000001468"
"Non Domestiche","Privato","Cessato con Conto Finale emesso","ATTIVA","Crediti v utenti isu","","1,574.56 EUR","","1,574.56 EUR","","","","","","","","","1,574.56 EUR","1000001414"
"Non Domestiche","Privato","Cessato","ATTIVA","Crediti v utenti isu","","11,859.39 EUR","","11,859.39 EUR","","","","","","","","","11,859.39 EUR","1000001442"
"Uso Antincendio","Organizzazione","Attivo","ATTIVA","Crediti v utenti isu","","71.50 EUR","","71.50 EUR","","","","","","","","","71.50 EUR","1000002492"
"Uso Antincendio","Organizzazione","Cessato","ATTIVA","Crediti v utenti isu","","6.54 EUR","","6.54 EUR","","","","","","","","","6.54 EUR","1000003218"
"Uso Antincendio","Privato","Attivo","ATTIVA","Crediti v utenti isu","","0.00 EUR","","0.00 EUR","","","","","","","","","0.00 EUR","1000001345"
"Uso Antincendio","Privato","Cessato","ATTIVA","Crediti v utenti isu","","8.05 EUR","","8.05 EUR","","","","","","","","","8.05 EUR","1000001928"
"Senza attribuz.","Organizzazione","Cessato","CESSATA","Crediti v utenti isu","","1,536.31 EUR","","1,536.31 EUR","","","","","","","","","1,536.31 EUR","1000003004"
"Senza attribuz.","Organizzazione","Cessato","CESSATA","Crv/Comuni p/ut isu","","0.00 EUR","","0.00 EUR","","","","","","","","","0.00 EUR","1000002524"
"Senza attribuz.","Correlate / Collegate","Cessato","CESSATA","Crediti v utenti isu","","11,938.74 EUR","","11,938.74 EUR","","","","","","","","","11,938.74 EUR","1000002670"
"Senza attribuz.","Correlate / Collegate","Cessato","CESSATA","Cred.v/cor.te ACEA","","-2,255.99 EUR","","-2,255.99 EUR","","","","","","","","","-2,255.99 EUR","1000002398"
"Senza attribuz.","Privato","Cessato","CESSATA","Crediti v utenti isu","","-137,733.87 EUR","","-137,733.87 EUR","","","","","","","","","-137,733.87 EUR","1000001838"
"Senza attribuz.","Gruppo","Cessato","CESSATA","Cr autocons isu","","80.83 EUR","","80.83 EUR","","","","","","","","","80.83 EUR","1000002709"
"Senza attribuz.","Senza attribuz.","Senza attribuz.","CESSATA","Senza attribuz.","369,534,749.34 EUR","","","","","","","","","","","","","1000002232"
"Domestiche Residenti","Privato","Attivo","ATTIVA","Crediti v utenti isu","","136.64 EUR","","136.64 EUR","","","","","","","","","136.64 EUR","1000001264"
"Domestiche Residenti","Privato","Cessato con Conto Finale emesso","ATTIVA","Crediti v utenti isu","","0.00 EUR","","0.00 EUR","","","","","","","","","0.00 EUR","1000001450"
"Domestiche Residenti","Privato","Cessato","ATTIVA","Crediti v utenti isu","","545.84 EUR","","545.84 EUR","","","","","","","","","545.84 EUR","1000001490"
"Domestiche Residenti","Gruppo","Attivo","ATTIVA","Crediti v utenti isu","","79.13 EUR","","79.13 EUR","","","","","","","","","79.13 EUR","1000002517"
"Condominiali Domestiche","Privato","Cessato","ATTIVA","Crediti v utenti isu","","134.99 EUR","","134.99 EUR","","","","","","","","","134.99 EUR","1000001463"
"Non Domestiche","Organizzazione","Cessato","ATTIVA","Crediti v utenti isu","","4,219.16 EUR","","4,219.16 EUR","","","","","","","","","4,219.16 EUR","1000002764"
"Non Domestiche","Organizzazione","Cessato","ATTIVA","Crv/Comuni p/ut isu","","88.20 EUR","","88.20 EUR","","","","","","","","","88.20 EUR","1000002826"
"Non Domestiche","Privato","Attivo","ATTIVA","Crediti v utenti isu","","178.14 EUR","","178.14 EUR","","","","","","","","","178.14 EUR","1000001698"
"Non Domestiche","Privato","Cessato con Conto Finale emesso","ATTIVA","Crediti v utenti isu","","0.00 EUR","","0.00 EUR","","","","","","","","","0.00 EUR","1000001233"
"Non Domestiche","Privato","Cessato","ATTIVA","Crediti v utenti isu","","-1,714.00 EUR","","-1,714.00 EUR","","","","","","","","","-1,714.00 EUR","1000001997"
"Non Domestiche","Gruppo","Attivo","ATTIVA","Crediti v utenti isu","","198,452.26 EUR","","198,452.26 EUR","","","","","","","","","198,452.26 EUR","1000002306"
"Non Domestiche","Gruppo","Attivo","ATTIVA","Cr autocons isu","","265,499.17 EUR","","265,499.17 EUR","","","","","","","","","265,499.17 EUR","1000002153"
"Non Domestiche","Gruppo","Cessato con Conto Finale emesso","ATTIVA","Cr autocons isu","","10.74 EUR","","10.74 EUR","","","","","","","","","10.74 EUR","1000002388"
"Non Domestiche","Gruppo","Cessato","ATTIVA","Crediti v utenti isu","","373.66 EUR","","373.66 EUR","","","","","","","","","373.66 EUR","1000002677"
"Condominiali Miste","Organizzazione","Attivo","ATTIVA","Crv/Comuni p/ut isu","","0.00 EUR","","0.00 EUR","","","","","","","","","0.00 EUR","1000002210"
"Condominiali Miste","Privato","Cessato","ATTIVA","Crediti v utenti isu","","152.10 EUR","","152.10 EUR","","","","","","","","","152.10 EUR","1000000979"
"Pubbliche Comunali","Organizzazione","Attivo","ATTIVA","Crv/Comuni p/ut isu","","0.00 EUR","","0.00 EUR","","","","","","","","","0.00 EUR","1000002271"
"Pubbliche Comunali","Gruppo","Attivo","ATTIVA","Crediti v utenti isu","","252,450.53 EUR","","252,450.53 EUR","","","","","","","","","252,450.53 EUR","1000002948"
"Pubbliche Comunali","Gruppo","Attivo","ATTIVA","Cr autocons isu","","2,495.28 EUR","","2,495.28 EUR","","","","","","","","","2,495.28 EUR","1000002919"
"Uso Antincendio","Organizzazione","Cessato","ATTIVA","Crediti v utenti isu","","26.25 EUR","","26.25 EUR","","","","","","","","","26.25 EUR","1000002507"
"Uso Antincendio","Privato","Attivo","ATTIVA","Crediti v utenti isu","","0.00 EUR","","0.00 EUR","","","","","","","","","0.00 EUR","1000001186"
"Uso Antincendio","Gruppo","Attivo","ATTIVA","Crediti v utenti isu","","2,602.98 EUR","","2,602.98 EUR","","","","","","","","","2,602.98 EUR","1000002386"
"Uso Antincendio","Gruppo","Attivo","ATTIVA","Cr v/cont.nte isu ut","","26.36 EUR","","26.36 EUR","","","","","","","","","26.36 EUR","1000002178"
"Uso Antincendio","Gruppo","Cessato","ATTIVA","Crediti v utenti isu","","69.65 EUR","","69.65 EUR","","","","","","","","","69.65 EUR","1000002276"
"Uso Non Potabile","Organizzazione","Cessato con Conto Finale emesso","ATTIVA","Crv/Comuni p/ut isu","","0.00 EUR","","0.00 EUR","","","","","","","","","0.00 EUR","1000002505"
"Uso Non Potabile","Gruppo","Attivo","ATTIVA","Crediti v utenti isu","","266.70 EUR","","266.70 EUR","","","","","","","","","266.70 EUR","1000002986"
"Senza attribuz.","Organizzazione","Cessato","CESSATA","Crediti v utenti isu","","73,659.22 EUR","","73,659.22 EUR","","","","","","","","","73,659.22 EUR","1000002863"
"Senza attribuz.","Correlate / Collegate","Cessato","CESSATA","Crediti v utenti isu","","13.63 EUR","","13.63 EUR","","","","","","","","","13.63 EUR","1000002345"
"Senza attribuz.","Correlate / Collegate","Cessato","CESSATA","Cred.v/cor.te ACEA","","2.22 EUR","","2.22 EUR","","","","","","","","","2.22 EUR","1000003268"
"Senza attribuz.","Privato","Cessato","CESSATA","Crediti v utenti isu","","-230,847.58 EUR","","-230,847.58 EUR","","","","","","","","","-230,847.58 EUR","1000001313"
"Senza attribuz.","Gruppo","Cessato","CESSATA","Crediti v utenti isu","","29,300.46 EUR","","29,300.46 EUR","","","","","","","","","29,300.46 EUR","1000002128"
"Senza attribuz.","Gruppo","Cessato","CESSATA","Cr autocons isu","","37,151.41 EUR","","37,151.41 EUR","","","","","","","","","37,151.41 EUR","1000002878"
"Senza attribuz.","Senza attribuz.","Senza attribuz.","CESSATA","Senza attribuz.","399,375,745.01 EUR","","","","","","","","","","","","","1000002324"
"Domestiche Residenti","Privato","Attivo","ATTIVA","Crediti v utenti isu","","1,566.05 EUR","","1,566.05 EUR","","","","","","","251.59 EUR","335.44 EUR","979.02 EUR","1000001496"
"Domestiche Residenti","Privato","Cessato con Conto Finale emesso","ATTIVA","Crediti v utenti isu","","0.00 EUR","","0.00 EUR","","","","","","","","","0.00 EUR","1000000960"
"Domestiche Residenti","Privato","Cessato","ATTIVA","Crediti v utenti isu","","8,873.26 EUR","","8,873.26 EUR","","","","","","","","","8,873.26 EUR","1000002001"
"Domestiche Non Residenti","Privato","Cessato","ATTIVA","Crediti v utenti isu","","258.25 EUR","","258.25 EUR","","","","","","","","","258.25 EUR","1000001992"
"Condominiali Domestiche","Privato","Attivo","ATTIVA","Crediti v utenti isu","","0.00 EUR","","0.00 EUR","","","","","","","","","0.00 EUR","1000001865"
"Condominiali Domestiche","Privato","Cessato con Conto Finale emesso","ATTIVA","Crediti v utenti isu","","0.00 EUR","","0.00 EUR","","","","","","","","","0.00 EUR","1000001297"
"Condominiali Domestiche","Privato","Cessato","ATTIVA","Crediti v utenti isu","","9,209.79 EUR","","9,209.79 EUR","","","","","","","","","9,209.79 EUR","1000000951"
"Non Domestiche","Organizzazione","Attivo","ATTIVA","Crediti v utenti isu","","763.70 EUR","","763.70 EUR","","","","","","","","","763.70 EUR","1000002390"
